speed,volume,weather,time_of_day,congestion_level,location,day_of_week,is_weekend,holiday,special_event,speed_volume,road_status,road_type,Is_Peak_Hour
53,98.304,rainy,21:24:00,medium,Madhyapur Thimi,Friday,0,0,0,5210.112,,,
44,121.856,foggy,20:22:00,medium,Kirtipur,Wednesday,0,0,0,5361.664,,,
54,130.048,rainy,16:21:00,medium,Boudha,Wednesday,0,0,0,7022.592,,,
59,128,rainy,01:58:00,medium,Koteshwor,Sunday,0,0,0,7552,,,
48,239.104,cloudy,13:45:00,low,Butwal,Friday,0,0,0,11476.992,,,
44,268.8,foggy,01:56:00,medium,Bhaktapur,Thursday,0,0,0,11827.2,,,
58,337.152,sunny,14:51:00,high,Kuleshwor,Friday,0,1,0,19554.816,,,
52,722.304,sunny,22:38:00,high,Madhyapur Thimi,Saturday,1,0,0,37559.808,,,
55,326.4,rainy,11:18:00,medium,Kathmandu,Sunday,0,0,0,17952,,,
43,74.752,foggy,14:33:00,medium,Godavari,Monday,0,0,0,3214.336,,,
55,137.728,rainy,20:19:00,medium,Tokha,Wednesday,0,0,0,7575.04,,,
47,126.976,sunny,00:58:00,low,Pokhara,Sunday,0,0,0,5967.872,,,
48,89.856,foggy,08:25:00,high,Koteshwor,Wednesday,0,0,1,4313.088,,,
49,284.16,foggy,12:55:00,high,Madhyapur Thimi,Sunday,0,0,1,13923.84,,,
53,65.024,rainy,03:16:00,medium,Tokha,Wednesday,0,0,0,3446.272,,,
50,296.448,sunny,08:25:00,low,Lalitpur,Tuesday,0,0,0,14822.4,,,
30,58.88,rainy,01:32:00,medium,Durbar Marg,Wednesday,0,0,0,1766.4,,,
52,213.504,rainy,13:44:00,medium,Koteshwor,Thursday,0,0,0,11102.208,,,
51,321.024,foggy,05:24:00,medium,Koteshwor,Friday,0,0,0,16372.224,,,
49,559.872,cloudy,12:02:00,low,Butwal,Wednesday,0,0,0,27433.728,,,
43,188.928,sunny,22:09:00,low,Balkumari,Thursday,0,0,0,8123.904,,,
47,145.92,sunny,15:54:00,low,Godavari,Sunday,0,0,0,6858.24,,,
55,237.568,foggy,18:17:00,medium,Kuleshwor,Monday,0,0,0,13066.24,,,
45,364.032,sunny,02:10:00,low,Durbar Marg,Tuesday,0,0,0,16381.44,,,
30,337.152,sunny,06:53:00,low,Madhyapur Thimi,Tuesday,0,0,0,10114.56,,,
48,159.232,rainy,12:06:00,medium,Butwal,Friday,0,0,0,7643.136,,,
48,468.864,foggy,00:44:00,high,Koteshwor,Saturday,1,0,0,22505.472,,,
49,122.88,foggy,02:36:00,medium,Kathmandu,Monday,0,0,0,6021.12,,,
45,196.992,foggy,20:39:00,medium,Koteshwor,Thursday,0,0,0,8864.64,,,
48,1272.375,sunny,17:37:00,high,Bhaktapur,Tuesday,0,0,0,61074,,,
60,185.856,sunny,02:09:00,low,Lalitpur,Tuesday,0,0,0,11151.36,,,
51,158.72,cloudy,04:32:00,low,Pokhara,Sunday,0,0,0,8094.72,,,
60,225.792,cloudy,14:56:00,low,Butwal,Wednesday,0,0,0,13547.52,,,
73,213.504,foggy,16:56:00,medium,Madhyapur Thimi,Wednesday,0,0,0,15585.792,,,
51,198.144,cloudy,19:29:00,low,Lalitpur,Wednesday,0,0,0,10105.344,,,
57,209.664,foggy,15:31:00,medium,Durbar Marg,Tuesday,0,0,0,11950.848,,,
52,378.432,cloudy,08:44:00,high,Kuleshwor,Saturday,1,0,1,19678.464,,,
45,191.232,sunny,08:13:00,low,Lazimpat,Friday,0,0,0,8605.44,,,
47,175.104,rainy,18:40:00,high,Durbar Marg,Saturday,1,0,0,8229.888,,,
50,76.8,rainy,18:57:00,medium,Durbar Marg,Thursday,0,0,0,3840,,,
50,89.6,foggy,13:39:00,medium,Durbar Marg,Thursday,0,0,0,4480,,,
45,135.168,sunny,15:46:00,low,Madhyapur Thimi,Tuesday,0,0,0,6082.56,,,
55,157.184,cloudy,12:25:00,low,Thamel,Wednesday,0,0,0,8645.12,,,
43,209.664,rainy,06:10:00,medium,Durbar Marg,Wednesday,0,0,0,9015.552,,,
41,89.6,foggy,22:04:00,medium,New Road,Friday,0,0,0,3673.6,,,
48,260.352,foggy,19:54:00,high,Butwal,Saturday,1,0,0,12496.896,,,
45,255.744,rainy,02:38:00,high,Durbar Marg,Saturday,1,0,1,11508.48,,,
45,82.944,cloudy,00:38:00,low,Kuleshwor,Sunday,0,0,0,3732.48,,,
45,766.125,foggy,17:20:00,high,Durbar Marg,Wednesday,0,0,0,34475.625,,,
53,174.08,rainy,11:26:00,medium,Pokhara,Wednesday,0,0,0,9226.24,,,
56,165.12,foggy,23:08:00,medium,Koteshwor,Tuesday,0,0,0,9246.72,,,
53,87.04,cloudy,23:55:00,low,Kathmandu,Wednesday,0,0,0,4613.12,,,
52,57.344,foggy,21:59:00,medium,New Road,Sunday,0,0,0,2981.888,,,
46,1523.8125,foggy,17:22:00,high,Madhyapur Thimi,Monday,0,0,0,70095.375,,,
53,241.92,sunny,11:05:00,low,Butwal,Wednesday,0,0,0,12821.76,,,
43,945,cloudy,09:24:00,medium,Tokha,Sunday,0,0,0,40635,,,
44,163.84,rainy,00:13:00,medium,Pokhara,Wednesday,0,0,0,7208.96,,,
45,341.76,foggy,00:06:00,medium,Kirtipur,Tuesday,0,0,0,15379.2,,,
56,188.16,cloudy,02:40:00,low,Bhaktapur,Thursday,0,0,0,10536.96,,,
46,209.408,rainy,18:16:00,medium,Durbar Marg,Wednesday,0,0,0,9632.768,,,
55,60.928,cloudy,06:36:00,low,Madhyapur Thimi,Thursday,0,0,0,3351.04,,,
56,354.048,foggy,12:53:00,high,Butwal,Monday,0,1,0,19826.688,,,
49,121.344,sunny,10:21:00,low,Godavari,Wednesday,0,0,0,5945.856,,,
43,375.552,rainy,12:10:00,medium,Kathmandu,Friday,0,0,0,16148.736,,,
47,292.608,rainy,01:07:00,medium,Balkumari,Friday,0,0,0,13752.576,,,
49,133.632,cloudy,06:42:00,low,Thamel,Sunday,0,0,0,6547.968,,,
46,235.008,sunny,07:12:00,high,Kuleshwor,Friday,0,0,1,10810.368,,,
48,206.592,foggy,23:53:00,medium,Butwal,Monday,0,0,0,9916.416,,,
53,215.04,cloudy,08:55:00,low,Godavari,Monday,0,0,0,11397.12,,,
41,210.944,sunny,18:26:00,low,Butwal,Thursday,0,0,0,8648.704,,,
49,199.168,sunny,06:18:00,low,Koteshwor,Sunday,0,0,0,9759.232,,,
40,372.48,foggy,01:54:00,medium,Kirtipur,Tuesday,0,0,0,14899.2,,,
48,112.128,sunny,00:44:00,low,Pokhara,Wednesday,0,0,0,5382.144,,,
47,59.392,foggy,23:40:00,medium,Kathmandu,Friday,0,0,0,2791.424,,,
51,176.64,sunny,16:57:00,low,Kuleshwor,Sunday,0,0,0,9008.64,,,
45,148.48,foggy,23:12:00,medium,Butwal,Tuesday,0,0,0,6681.6,,,
50,92.16,sunny,02:57:00,low,Kuleshwor,Thursday,0,0,0,4608,,,
56,174.336,foggy,16:31:00,medium,Godavari,Friday,0,0,0,9762.816,,,
54,290.304,foggy,13:44:00,medium,Koteshwor,Monday,0,0,0,15676.416,,,
47,209.408,cloudy,01:07:00,low,Kuleshwor,Wednesday,0,0,0,9842.176,,,
43,210.816,rainy,08:23:00,medium,Lazimpat,Wednesday,0,0,0,9065.088,,,
36,116.736,foggy,21:21:00,medium,Lazimpat,Wednesday,0,0,0,4202.496,,,
54,91.136,rainy,03:48:00,medium,Kuleshwor,Wednesday,0,0,0,4921.344,,,
42,1883.25,cloudy,09:55:00,high,Tokha,Saturday,1,0,0,79096.5,,,
50,301.824,cloudy,08:17:00,low,Kuleshwor,Sunday,0,0,0,15091.2,,,
52,115.712,foggy,01:05:00,medium,Lalitpur,Wednesday,0,0,0,6017.024,,,
56,203.52,foggy,15:20:00,high,Kirtipur,Saturday,1,0,0,11397.12,,,
50,162.816,cloudy,05:50:00,low,Tokha,Wednesday,0,0,0,8140.8,,,
62,235.008,foggy,18:52:00,high,Koteshwor,Saturday,1,0,0,14570.496,,,
61,244.992,sunny,01:56:00,low,Lazimpat,Friday,0,0,0,14944.512,,,
51,379.008,cloudy,07:29:00,low,Madhyapur Thimi,Thursday,0,0,0,19329.408,,,
55,1584.5625,rainy,09:19:00,medium,Bhaktapur,Wednesday,0,0,0,87150.9375,,,
46,89.856,rainy,05:48:00,high,Durbar Marg,Saturday,1,0,0,4133.376,,,
52,254.208,sunny,18:42:00,low,Kirtipur,Thursday,0,0,0,13218.816,,,
54,66.56,sunny,12:21:00,low,Godavari,Sunday,0,0,0,3594.24,,,
53,134.144,sunny,21:56:00,low,Kathmandu,Monday,0,0,0,7109.632,,,
44,246.272,foggy,04:29:00,medium,Kirtipur,Sunday,0,0,0,10835.968,,,
43,383.232,foggy,15:28:00,medium,Balkumari,Sunday,0,0,0,16478.976,,,
54,201.728,rainy,13:12:00,medium,Kirtipur,Tuesday,0,0,0,10893.312,,,
48,491.904,foggy,00:12:00,high,Lazimpat,Tuesday,0,1,0,23611.392,,,
48,1329.75,sunny,09:53:00,medium,Pokhara,Friday,0,0,0,63828,,,
47,72.704,foggy,18:51:00,medium,Butwal,Monday,0,0,0,3417.088,,,
52,243.072,cloudy,10:14:00,high,Kuleshwor,Saturday,1,0,0,12639.744,,,
48,80.896,foggy,06:35:00,medium,Kathmandu,Thursday,0,0,0,3883.008,,,
53,155.136,rainy,22:29:00,medium,Lalitpur,Thursday,0,0,0,8222.208,,,
55,557.568,sunny,22:26:00,high,Lalitpur,Saturday,1,0,0,30666.24,,,
56,132.864,cloudy,02:19:00,low,Kathmandu,Thursday,0,0,0,7440.384,,,
46,220.672,cloudy,12:34:00,low,Godavari,Thursday,0,0,0,10150.912,,,
47,129.024,foggy,22:16:00,medium,Kathmandu,Monday,0,0,0,6064.128,,,
46,377.088,foggy,23:16:00,high,Kuleshwor,Saturday,1,0,0,17346.048,,,
49,249.344,cloudy,23:15:00,low,Lazimpat,Thursday,0,0,0,12217.856,,,
49,235.52,foggy,13:56:00,medium,Lazimpat,Thursday,0,0,0,11540.48,,,
51,263.808,cloudy,13:22:00,high,New Road,Saturday,1,0,0,13454.208,,,
47,266.496,sunny,15:42:00,low,Koteshwor,Tuesday,0,0,0,12525.312,,,
56,213.504,rainy,08:25:00,medium,Balkumari,Sunday,0,0,0,11956.224,,,
55,298.752,cloudy,05:25:00,low,Bhaktapur,Wednesday,0,0,0,16431.36,,,
44,239.616,foggy,16:40:00,medium,Kirtipur,Tuesday,0,0,0,10543.104,,,
53,951.75,rainy,09:33:00,medium,Bhaktapur,Wednesday,0,0,0,50442.75,,,
39,774.144,sunny,21:13:00,high,Durbar Marg,Saturday,1,0,0,30191.616,,,
47,105.984,foggy,13:28:00,high,Bhaktapur,Saturday,1,0,0,4981.248,,,
37,225.28,cloudy,02:41:00,low,Kirtipur,Tuesday,0,0,0,8335.36,,,
57,855.5625,sunny,09:03:00,medium,Godavari,Tuesday,0,0,0,48767.0625,,,
52,111.36,cloudy,18:22:00,low,Butwal,Wednesday,0,0,0,5790.72,,,
50,212.992,cloudy,04:17:00,low,Boudha,Friday,0,0,0,10649.6,,,
50,319.104,rainy,05:14:00,medium,Kuleshwor,Sunday,0,0,0,15955.2,,,
48,337.92,rainy,02:12:00,medium,Thamel,Sunday,0,0,0,16220.16,,,
52,199.68,rainy,02:14:00,medium,Thamel,Wednesday,0,0,0,10383.36,,,
45,216.064,sunny,15:15:00,low,Lalitpur,Thursday,0,0,0,9722.88,,,
55,185.856,cloudy,14:52:00,low,Godavari,Sunday,0,0,0,10222.08,,,
47,129.024,foggy,22:16:00,medium,Koteshwor,Thursday,0,0,0,6064.128,,,
47,139.776,rainy,18:12:00,medium,Lalitpur,Thursday,0,0,0,6569.472,,,
50,297.216,foggy,14:01:00,high,Kathmandu,Sunday,0,0,1,14860.8,,,
54,73.216,foggy,02:48:00,medium,Lalitpur,Thursday,0,0,0,3953.664,,,
55,233.472,foggy,10:53:00,medium,Lalitpur,Wednesday,0,0,0,12840.96,,,
48,293.376,cloudy,05:25:00,low,Madhyapur Thimi,Thursday,0,0,0,14082.048,,,
44,238.592,rainy,03:33:00,medium,Godavari,Monday,0,0,0,10498.048,,,
50,357.888,cloudy,16:30:00,low,Kathmandu,Friday,0,0,0,17894.4,,,
47,110.592,foggy,00:37:00,medium,Godavari,Thursday,0,0,0,5197.824,,,
57,432,sunny,08:47:00,low,Lalitpur,Tuesday,0,0,0,24624,,,
48,1164.375,sunny,17:54:00,medium,Pokhara,Monday,0,0,0,55890,,,
47,169.984,sunny,16:28:00,low,Boudha,Tuesday,0,0,0,7989.248,,,
56,238.08,rainy,05:19:00,high,Durbar Marg,Monday,0,1,0,13332.48,,,
49,133.632,cloudy,06:42:00,low,Thamel,Tuesday,0,0,0,6547.968,,,
60,117.504,rainy,16:11:00,medium,Butwal,Sunday,0,0,0,7050.24,,,
54,253.952,cloudy,21:29:00,low,Koteshwor,Tuesday,0,0,0,13713.408,,,
42,215.04,cloudy,13:51:00,low,Kathmandu,Thursday,0,0,0,9031.68,,,
42,379.392,foggy,11:36:00,medium,Koteshwor,Thursday,0,0,0,15934.464,,,
51,220.672,sunny,03:41:00,low,Kirtipur,Friday,0,0,0,11254.272,,,
54,212.736,foggy,21:34:00,medium,Lalitpur,Friday,0,0,0,11487.744,,,
51,1026,cloudy,17:29:00,medium,Koteshwor,Wednesday,0,0,0,52326,,,
47,167.04,cloudy,07:32:00,high,Koteshwor,Wednesday,0,0,1,7850.88,,,
51,208.896,foggy,06:26:00,medium,Lalitpur,Friday,0,0,0,10653.696,,,
41,428.544,foggy,06:37:00,high,Pokhara,Saturday,1,0,0,17570.304,,,
57,139.776,cloudy,07:20:00,low,Balkumari,Wednesday,0,0,0,7967.232,,,
69,122.88,rainy,03:04:00,medium,Thamel,Thursday,0,0,0,8478.72,,,
44,172.032,rainy,18:38:00,medium,Lalitpur,Thursday,0,0,0,7569.408,,,
45,364.8,rainy,20:09:00,medium,Kathmandu,Friday,0,0,0,16416,,,
49,56.832,rainy,23:30:00,medium,Pokhara,Friday,0,0,0,2784.768,,,
60,551.808,rainy,13:10:00,medium,Kathmandu,Tuesday,0,0,0,33108.48,,,
54,2283.1875,cloudy,17:30:00,medium,Madhyapur Thimi,Tuesday,0,0,0,123292.125,,,
48,206.336,cloudy,19:04:00,low,Balkumari,Tuesday,0,0,0,9904.128,,,
46,88.064,rainy,19:42:00,medium,Lalitpur,Thursday,0,0,0,4050.944,,,
65,227.328,cloudy,22:26:00,low,Butwal,Thursday,0,0,0,14776.32,,,
55,1289.25,foggy,09:04:00,high,Durbar Marg,Thursday,0,0,0,70908.75,,,
47,288.768,rainy,01:25:00,medium,Pokhara,Thursday,0,0,0,13572.096,,,
57,367.872,foggy,06:52:00,medium,Koteshwor,Tuesday,0,0,0,20968.704,,,
46,135.936,rainy,06:33:00,medium,Thamel,Monday,0,0,0,6253.056,,,
49,146.432,cloudy,13:52:00,low,Balkumari,Thursday,0,0,0,7175.168,,,
46,123.648,rainy,23:33:00,medium,Thamel,Monday,0,0,0,5687.808,,,
51,111.104,rainy,10:09:00,medium,New Road,Friday,0,0,0,5666.304,,,
48,150.528,rainy,01:26:00,medium,Lalitpur,Thursday,0,0,0,7225.344,,,
54,250.368,sunny,23:48:00,low,Lalitpur,Tuesday,0,0,0,13519.872,,,
51,61.952,cloudy,13:55:00,low,Koteshwor,Monday,0,0,0,3159.552,,,
48,2528.71875,cloudy,09:11:00,high,Lalitpur,Thursday,0,0,0,121378.5,,,
47,167.424,foggy,14:25:00,medium,Bhaktapur,Sunday,0,0,0,7868.928,,,
53,220.672,foggy,11:21:00,medium,Butwal,Friday,0,0,0,11695.616,,,
53,343.296,cloudy,13:58:00,low,Boudha,Sunday,0,0,0,18194.688,,,
50,150.528,foggy,07:01:00,medium,Madhyapur Thimi,Tuesday,0,0,0,7526.4,,,
46,247.808,sunny,11:57:00,low,Butwal,Thursday,0,0,0,11399.168,,,
53,157.696,cloudy,13:44:00,low,Madhyapur Thimi,Wednesday,0,0,0,8357.888,,,
48,152.064,cloudy,11:12:00,low,New Road,Wednesday,0,0,0,7299.072,,,
48,109.056,cloudy,19:37:00,low,Balkumari,Wednesday,0,0,0,5234.688,,,
49,191.232,foggy,06:35:00,high,Pokhara,Saturday,1,0,0,9370.368,,,
55,230.912,cloudy,12:57:00,low,Thamel,Sunday,0,0,0,12700.16,,,
70,129.024,foggy,16:37:00,medium,Koteshwor,Monday,0,0,0,9031.68,,,
31,164.864,cloudy,00:26:00,low,Butwal,Thursday,0,0,0,5110.784,,,
50,209.92,rainy,08:36:00,medium,Balkumari,Wednesday,0,0,0,10496,,,
53,375.552,cloudy,13:39:00,low,Tokha,Thursday,0,0,0,19904.256,,,
56,229.376,rainy,06:05:00,medium,Lalitpur,Sunday,0,0,0,12845.056,,,
46,473.472,cloudy,18:34:00,high,Kirtipur,Saturday,1,0,0,21779.712,,,
49,147.456,cloudy,04:41:00,low,Durbar Marg,Thursday,0,0,0,7225.344,,,
39,167.424,cloudy,21:09:00,low,Madhyapur Thimi,Thursday,0,0,0,6529.536,,,
44,396.288,cloudy,23:45:00,low,Pokhara,Monday,0,0,0,17436.672,,,
46,169.984,rainy,00:16:00,medium,Butwal,Wednesday,0,0,0,7819.264,,,
48,210.432,cloudy,11:10:00,low,Balkumari,Sunday,0,0,0,10100.736,,,
50,2252.8125,sunny,17:21:00,high,Pokhara,Monday,0,0,1,112640.625,,,
56,82.432,sunny,04:35:00,low,Butwal,Sunday,0,0,0,4616.192,,,
46,366.336,cloudy,22:13:00,high,Tokha,Saturday,1,0,0,16851.456,,,
43,51.2,sunny,18:27:00,low,Kirtipur,Thursday,0,0,0,2201.6,,,
48,307.968,cloudy,10:31:00,high,New Road,Saturday,1,0,0,14782.464,,,
56,261.12,foggy,07:51:00,medium,Koteshwor,Wednesday,0,0,0,14622.72,,,
47,222.72,rainy,01:21:00,medium,Kathmandu,Sunday,0,0,0,10467.84,,,
53,505.728,rainy,06:54:00,high,Kathmandu,Tuesday,0,0,1,26803.584,,,
52,65.024,sunny,19:04:00,low,Kirtipur,Monday,0,0,0,3381.248,,,
55,440.064,cloudy,11:36:00,low,Boudha,Thursday,0,0,0,24203.52,,,
70,307.968,sunny,07:58:00,high,Boudha,Saturday,1,0,0,21557.76,,,
50,125.952,sunny,07:35:00,low,Durbar Marg,Sunday,0,0,0,6297.6,,,
52,145.92,cloudy,01:23:00,low,Kathmandu,Friday,0,0,0,7587.84,,,
50,230.4,rainy,16:56:00,medium,Koteshwor,Sunday,0,0,0,11520,,,
45,143.872,rainy,19:01:00,medium,Thamel,Monday,0,0,0,6474.24,,,
52,219.648,rainy,11:36:00,high,Thamel,Saturday,1,0,1,11421.696,,,
51,117.504,cloudy,02:09:00,low,Kuleshwor,Sunday,0,0,0,5992.704,,,
53,120.832,sunny,13:50:00,low,Pokhara,Wednesday,0,0,0,6404.096,,,
57,178.944,cloudy,05:50:00,high,Kuleshwor,Saturday,1,0,0,10199.808,,,
48,115.2,cloudy,11:07:00,low,Boudha,Sunday,0,0,0,5529.6,,,
63,251.904,sunny,13:30:00,low,Boudha,Thursday,0,0,0,15869.952,,,
52,387.072,foggy,03:56:00,medium,Pokhara,Thursday,0,0,0,20127.744,,,
53,246.784,cloudy,20:12:00,low,Thamel,Wednesday,0,0,0,13079.552,,,
48,180.736,cloudy,11:31:00,low,Kirtipur,Thursday,0,0,0,8675.328,,,
46,112.128,rainy,08:28:00,high,Bhaktapur,Saturday,1,0,0,5157.888,,,
50,144.384,sunny,08:39:00,low,Lalitpur,Wednesday,0,0,0,7219.2,,,
57,77.312,foggy,07:01:00,medium,Thamel,Friday,0,0,0,4406.784,,,
57,258.048,sunny,20:56:00,low,Koteshwor,Sunday,0,0,0,14708.736,,,
41,537.984,rainy,20:49:00,high,Boudha,Saturday,1,0,0,22057.344,,,
49,511.488,sunny,13:17:00,low,Butwal,Thursday,0,0,0,25062.912,,,
58,473.472,sunny,14:47:00,high,Durbar Marg,Saturday,1,0,0,27461.376,,,
50,465.408,rainy,23:55:00,medium,Boudha,Thursday,0,0,0,23270.4,,,
52,123.264,rainy,00:38:00,medium,Pokhara,Tuesday,0,0,0,6409.728,,,
46,81.408,foggy,22:32:00,medium,Boudha,Wednesday,0,0,0,3744.768,,,
65,102.4,foggy,12:37:00,medium,Thamel,Monday,0,0,0,6656,,,
57,139.776,cloudy,07:20:00,low,Tokha,Monday,0,0,0,7967.232,,,
51,89.088,foggy,03:37:00,high,Bhaktapur,Saturday,1,0,0,4543.488,,,
51,384.768,sunny,19:23:00,low,Butwal,Thursday,0,0,0,19623.168,,,
47,297.984,cloudy,02:58:00,low,Balkumari,Monday,0,0,0,14005.248,,,
44,222.72,sunny,07:58:00,low,Pokhara,Monday,0,0,0,9799.68,,,
49,1108.6875,foggy,17:04:00,high,New Road,Monday,0,0,0,54325.6875,,,
